Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,12,91,84,54,11.650485436893204
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,>=,color_goal,91,12,54,84,88.3495145631068
color t+42,>,color_goal,speed t+47,<=,speed t+0,60,19,87,29,75.9493670886076
color t+0,>,color_goal,color t+1,>,color_goal,77,26,26,112,74.75728155339806
color t+0,>,color_goal,angle t+40,<,angle t+0,63,22,41,76,74.11764705882354
color t+0,<,color_goal,color t+1,<,color_goal,71,26,25,119,73.19587628865979
color t+0,>,color_goal,speed t+47,<=,speed t+0,57,26,90,22,68.67469879518072
color t+0,<=,color_goal,color t+1,<,color_goal,84,54,12,91,60.86956521739131
color t+34,>,color_goal,color t+0,>=,color_goal,52,34,71,51,60.46511627906976
color t+22,>,color_goal,angle t+40,<,angle t+0,50,36,54,62,58.139534883720934
color t+0,>,color_goal,color t+8,<,color_goal,58,42,36,98,57.99999999999999
color t+0,>,color_goal,color t+9,<,color_goal,58,42,36,97,57.99999999999999
color t+0,>,color_goal,color t+7,<,color_goal,55,45,39,96,55.00000000000001
color t+0,<,color_goal,color t+23,<,color_goal,50,41,38,90,54.94505494505495
color t+0,>,color_goal,color t+30,<,color_goal,51,42,34,85,54.83870967741935
color t+0,>,color_goal,color t+31,<,color_goal,50,43,34,84,53.76344086021505
color t+30,>,color_goal,color t+0,<,color_goal,47,41,40,84,53.40909090909091
color t+9,>,color_goal,color t+0,<,color_goal,52,46,42,93,53.06122448979592
color t+0,>,color_goal,color t+6,<,color_goal,53,47,41,95,53.0
color t+31,>,color_goal,color t+0,<,color_goal,46,42,40,83,52.27272727272727
color t+0,>,color_goal,color t+10,<,color_goal,52,48,42,90,52.0
distance t+33,==,distance t+28,color t+0,<,color_goal,15,14,70,110,51.724137931034484
color t+0,>,color_goal,color t+29,<,color_goal,48,45,38,82,51.61290322580645
color t+8,>,color_goal,color t+0,<,color_goal,51,48,44,91,51.515151515151516
color t+0,>,color_goal,color t+27,<,color_goal,48,46,38,83,51.06382978723404
color t+0,>,color_goal,color t+28,<,color_goal,47,46,39,82,50.53763440860215
color t+21,<=,color t+13,color t+0,<,color_goal,58,57,33,73,50.43478260869565
color t+0,<=,color_goal,color t+22,<,color_goal,63,62,26,69,50.4
color t+5,>,color_goal,color t+0,<,color_goal,51,51,46,89,50.0
color t+32,>,color_goal,color t+0,<,color_goal,44,44,41,81,50.0
color t+15,>,color_goal,color t+0,<,color_goal,48,49,44,86,49.48453608247423
color t+6,>,color_goal,color t+0,<,color_goal,49,52,48,87,48.51485148514851
color t+0,>,color_goal,color t+5,<,color_goal,49,52,45,91,48.51485148514851
